,code,rca_arg,rca_bra,rca_deu,rca_chn,pci,cog,description,export,category,id
12,841181,0.03933599521647035,0.4044719088596346,0.4909543383609093,0.05730235699360545,1.0898693722880541,0.2309023394710413,Gas turbine engines nes of a power < 5000 kW,322320.6,"Machinery, Electrical",841181
13,841182,0.21289796694667495,0.0861419684655768,0.9992306480167328,0.11666653056194685,0.054680078783681606,0.26717029276280585,Gas turbine engines nes of a power > 5000 kW,5769586.4,"Machinery, Electrical",841182
14,841861,0.0026755890275087266,0.01850675942961116,1.4804161538797935,0.6366891132062887,1.1206672392069037,0.22819438883508894,Compression refrigeration equipment with heat exchang,20935.8,"Machinery, Electrical",841861
15,841919,0.2458220971892711,0.035621480200425416,1.2836515950232887,0.650602991070226,0.4480274245296804,0.08297528153227463,"Instantaneous/storage water heaters, not electric nes",1554621.6,"Machinery, Electrical",841919
16,841950,0.1442907317060306,0.2552006133632897,1.4895670069005789,0.7042946751056222,1.4804453988157316,0.2870277297990991,"Heat exchange units, non-domestic, non-electric",5102514.4,"Machinery, Electrical",841950
17,847989,0.106698710357784,0.2344614087236424,2.1063642703427528,0.5478850755114226,2.2411236341942686,0.481163047257979,Machines and mechanical appliances nes,19223043.0,"Machinery, Electrical",847989
18,850230,0.041262216700778113,0.6239572597581955,2.4969123609914243,0.4342930515543037,1.2045866471419833,0.2235409140864016,"Electric generating sets, nes",1555205.0,Transportation,850230
19,850410,0.1364041029288783,0.09344744170467033,1.3794910173910686,2.0768778615218464,0.5831780657080049,0.14471651815018802,Ballasts for discharge lamps or tubes,1067498.8,Transportation,850410
20,853710,0.0635439062680636,0.15517744101086098,2.2791280373682,0.8529635067514614,0.5382960406533014,0.08824482320956169,"Electrical control and distribution boards, < 1kV",11747220.2,Transportation,853710
21,854140,0.0019813583270554096,0.003524938454699174,0.7179919627021579,2.8788175562817617,0.8285991178029719,0.14525375600971946,Photosensitive/photovoltaic/LED semiconductor devices,328072.6,Transportation,854140
22,900190,0.000749798342227057,0.003716282548118768,0.8330956861547485,1.7550929188105195,1.4785379525036488,0.30969736810367604,"Prisms, mirrors and optical elements nes, unmounted",19721.4,Precision Instruments,900190
23,900290,0.04301487407011608,0.013540094026344679,2.514002947318128,1.0857286733140592,0.9048347432578929,0.24249035289674625,"Mounted lenses, prisms, mirrors, optical elements nes",326750.6,Precision Instruments,900290
24,902730,0.04396548497238422,0.02131282461347694,2.3564599789245038,0.26249864194089784,1.9819020122802544,0.4405971481491695,"Spectrometers, spectrophotometers, etc using light",573343.0,Precision Instruments,902730
25,903210,0.2766106695414705,0.15352117129231396,1.547831745451104,1.3506398866936369,0.9373441678642336,0.17393337409389498,Thermostats,3623317.4,Precision Instruments,903210
26,840420,0.021756269549996574,0.2526848168889461,0.22325841740039493,2.0174454494501783,-0.22037467851192186,-0.025070402497658885,Condensers for steam or vapour power units,24770.8,"Machinery, Electrical",840420
27,840490,0.004110654160933421,0.19281189191207965,0.6218977568651903,1.4341670756456997,0.722068293846615,0.052573300239305835,"Steam, vapour generating boiler auxiliary plant parts",11628.4,"Machinery, Electrical",840490
28,840690,0.030519456591247718,0.13116901531279304,1.4227482837164418,1.0403034636874438,1.189109412323364,0.3062420804895269,Parts of steam and vapour turbines,457013.6,"Machinery, Electrical",840690
29,841199,0.06550947816574701,0.06272968363759941,1.1447539686928176,0.2276519875319281,1.805274320563218,0.4456053124520575,Parts of gas turbine engines except turbo-jet/prop,4743323.8,"Machinery, Electrical",841199
30,841290,0.06210794554799288,1.4390651276098132,1.3488211480185388,1.2629468369275059,0.7826554824069895,0.15841023088673245,Parts of hydraulic/pneumatic/other power engines,1569359.4,"Machinery, Electrical",841290
31,841780,0.2990474555738369,0.2452741171694937,0.9615334362950844,2.087567870282263,0.4608058008532514,0.07422704198978627,"Industrial furnace, oven, incinerator non-electric ne",1314070.2,"Machinery, Electrical",841780
32,841790,0.028924901255939637,0.5608879613178197,1.7987512424786791,1.248471273780644,0.5933131454927401,0.05456655240735025,Parts of industrial or laboratory furnaces/ovens,209398.8,"Machinery, Electrical",841790
33,841939,1.1301559356049675,0.4308175142795632,2.0744243716280644,1.2407399307654916,1.3349920643936817,0.2611261266295468,"Non-domestic, non-electric dryers nes",7255096.6,"Machinery, Electrical",841939
34,841960,1.1032643225388796,0.10368910776877853,1.4448675174905286,2.8266149448472584,0.041031707135613306,0.04410725708683639,Machinery for liquefying air or other gases,5773832.4,"Machinery, Electrical",841960
35,841989,0.6750189166658574,0.54978165064366,2.464828160729979,0.7640543949866192,0.9121723201418273,0.17839395427446847,Machinery for treatment by temperature change nes,17964092.2,"Machinery, Electrical",841989
36,841990,0.10197650114913484,0.1471078143112786,1.3384169545103266,1.0805879373763545,1.1801329884603708,0.2204490334454684,"Parts, laboratory/industrial heating/cooling machiner",2277788.2,"Machinery, Electrical",841990
37,842121,0.1654758512826339,0.35447520360098844,1.7655345206705466,0.826589904124221,0.8697170344302758,0.1465619750947199,Water filtering or purifying machinery or apparatus,4472193.4,"Machinery, Electrical",842121
38,842129,0.19805597330934874,1.1257137097128975,2.494302679707161,0.5574580297683398,1.5643272501369374,0.3969463071933709,Filtering/purifying machinery for liquids nes,5893279.0,"Machinery, Electrical",842129
39,842139,0.07374521316589687,0.27656084972710593,2.5163521578572494,0.6223353876735602,0.7539811434087379,0.2221799836591532,Filtering or purifying machinery for gases nes,5344233.0,"Machinery, Electrical",842139
40,842199,0.18354380976203355,0.2810973996268307,2.485193789856904,0.8519313635171669,1.2618659478080272,0.2801497065917331,Parts for filter/purifying machines for liquid/gas,8296162.4,"Machinery, Electrical",842199
41,847420,0.018141628627440905,0.7796568805695892,1.7436377018738003,1.6579746280231027,0.2639028684733918,0.026896731669517632,"Machines to crush or grind stone, ores and minerals",197668.4,"Machinery, Electrical",847420
42,847982,0.29358258448216185,0.3338027665544582,3.2121278018872306,0.7482132527767861,1.5566502995561808,0.3428209321540156,"Machines to mix, knead, crush, grind, etc, nes",4371873.6,"Machinery, Electrical",847982
43,847990,0.04352639968789692,0.05142347553564145,1.206028926257469,0.4566918975157402,2.013471284322055,0.4698917580879532,Parts of machines and mechanical appliances nes,5191276.8,"Machinery, Electrical",847990
44,850164,0.030319932550589707,1.6128605697510607,1.80225017033856,0.9189499875816176,0.6696934176733831,0.10830948569524554,"AC generators, of an output > 750 kVA",359664.8,Transportation,850164
